Timestamp,Peer ID,Type,Peer,Message
2025-02-28 12:46:22,P3,Connected,P1,Established connection
2025-02-28 12:46:22,P3,Connected,P2,Established connection
2025-02-28 12:46:22,P3,Connected,P4,Established connection
2025-02-28 12:46:22,P3,Sent,P4,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Sent,P2,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Sent,P1,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Received,P4,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P3,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:22,P3,Received,P1,Hello from P1 at 12:46:22
2025-02-28 12:46:24,P3,Sent,P4,Hello from P3 at 12:46:24
2025-02-28 12:46:24,P3,Sent,P2,Hello from P3 at 12:46:24
2025-02-28 12:46:24,P3,Sent,P1,Hello from P3 at 12:46:24
2025-02-28 12:46:24,P3,Received,P4,Hello from P4 at 12:46:24
2025-02-28 12:46:24,P3,Received,P1,Hello from P1 at 12:46:24
2025-02-28 12:46:24,P3,Received,P2,Hello from P2 at 12:46:24
2025-02-28 12:46:25,P3,Connected,P6,Established connection
2025-02-28 12:46:25,P3,Broadcast,P4,Informing about new peer P6
2025-02-28 12:46:25,P3,Broadcast,P2,Informing about new peer P6
2025-02-28 12:46:25,P3,Broadcast,P1,Informing about new peer P6
2025-02-28 12:46:26,P3,Sent,P4,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P3,Sent,P2,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P3,Sent,P1,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P3,Received,P1,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P3,Sent,P6,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P3,Received,P2,Hello from P2 at 12:46:26
2025-02-28 12:46:26,P3,Received,P4,Hello from P4 at 12:46:26
2025-02-28 12:46:27,P3,Received,P6,Hello from P6 at 12:46:27
2025-02-28 12:46:28,P3,Sent,P4,Hello from P3 at 12:46:28
2025-02-28 12:46:28,P3,Sent,P2,Hello from P3 at 12:46:28
2025-02-28 12:46:28,P3,Sent,P1,Hello from P3 at 12:46:28
